Design Variation:  chainL='0.68000000000000005um' chainW='1um' CJ='11.699999999999999fF' CJ_SQUID='32.759999999999998fF' d='0.050000000000000003' extCouplingL='10um' extCouplingW='1um' fstLidExtL='3um' fstLidL='10um' fstLidW='50um' JJ_dummy_L='0.10000000000000001um' LJ='0.87nH' LJ_SQUID='6.2000000000000002nH' lstLidL='3um' lstLidW='1um' N='19' N_SQ='9' pitL='0um' pitW='2um' spacingChain='0.16um' spacingCoupling='1um' SQUIDbufferL='40um' SQUIDbufferL2='3um' SQUIDislandL='3um' SQUIDJJL='5um' SQUIDJJW='1um' SQUIDLidL='2um' SQUIDLidW='10um' stripeW='465.21199999999999um' subL='1.5mm' subT='525um' subW='1.5mm'
Setup1:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency:  21GHz

Capacitance Matrix
,feed,first_island,gnd,island,island_1,island_2,island_3,island_4,island_5,island_6,island_7,island_8,island_25,island_25_1,island_25_2,island_25_3,island_25_4,island_25_5,island_25_6,island_25_7,island_25_8,last_island,SQUID_lid1,SQUID_lid2,
island,-1.289693917478359E-07,-1.200007614926605E-06,-3.644558079412243E-08,2.411672986309356E-06,-7.131669021796492E-07,-1.094075238175903E-07,-5.053107510848883E-08,-2.983307902540145E-08,-2.008008955693947E-08,-1.461193667414925E-08,-1.119899186950922E-08,-9.035404073484756E-09,-6.106006716105050E-11,-5.654994932637506E-11,-5.880069944178883E-11,-5.963972904889819E-11,-6.068379547669448E-11,-6.329617311303347E-11,-6.243968607504245E-11,-6.333215208302907E-11,-6.385966402076185E-11,-5.970566986489566E-10,-8.571613826265162E-08,-2.096586745916005E-09
island_1,-1.324227622958891E-07,-5.052378757293845E-07,-3.746338570510995E-08,-7.131669021796492E-07,2.440738393566713E-06,-7.145701403481435E-07,-1.107786605279041E-07,-5.062678636085054E-08,-2.993773200475918E-08,-2.017580713410438E-08,-1.470032748466141E-08,-1.144339437222268E-08,-6.442283646859281E-11,-6.035133669930498E-11,-6.258435474029343E-11,-6.338457405185880E-11,-6.442003684314038E-11,-6.710199656888460E-11,-6.614284064595324E-11,-6.704672405683298E-11,-6.772293569007468E-11,-6.320590050689790E-10,-9.658333238489131E-08,-2.216954825334576E-09
island_2,-1.354595637497595E-07,-3.888103119712738E-07,-3.897265428189620E-08,-1.094075238175903E-07,-7.145701403481435E-07,2.446863845221228E-06,-7.210143885606525E-07,-1.094690234242466E-07,-5.052195613389600E-08,-2.995134305914094E-08,-2.021754650550748E-08,-1.496248016999445E-08,-6.741372112121459E-11,-6.329877472794679E-11,-6.558027283721602E-11,-6.640596383213529E-11,-6.748234493681757E-11,-7.025915346963467E-11,-6.924864078210764E-11,-7.018893913634959E-11,-7.088809923094126E-11,-6.617195900402837E-10,-1.096031004078287E-07,-2.323498249005750E-09
island_3,-1.382765341478798E-07,-3.315696802331227E-07,-4.043336428993804E-08,-5.053107510848883E-08,-1.107786605279041E-07,-7.210143885606525E-07,2.445427133437267E-06,-7.120760083554741E-07,-1.093180257164215E-07,-5.054367134841629E-08,-3.000677635318291E-08,-2.056538789749833E-08,-7.037558584950382E-11,-6.619918028515822E-11,-6.852918560223640E-11,-6.938101871535276E-11,-7.049850293278072E-11,-7.336879020118211E-11,-7.230809627235930E-11,-7.328443086788180E-11,-7.400249214676078E-11,-6.909912113153226E-10,-1.261104790128511E-07,-2.429138611735824E-09
island_4,-1.412384933998315E-07,-2.955239258860662E-07,-4.189219784115803E-08,-2.983307902540145E-08,-5.062678636085054E-08,-1.094690234242466E-07,-7.120760083554741E-07,2.436419914088319E-06,-7.125754295935528E-07,-1.095672102596582E-07,-5.069436933160741E-08,-3.052842628874120E-08,-7.320243401737623E-11,-6.906502002854835E-11,-7.143575910236408E-11,-7.230343904925567E-11,-7.345252989630244E-11,-7.662137056482763E-11,-7.550166948560539E-11,-7.651149766717518E-11,-7.725854135614209E-11,-7.187356588353552E-10,-1.478510504292199E-07,-2.528738208345963E-09
island_5,-1.426786158390034E-07,-2.692501433632821E-07,-4.352276085515509E-08,-2.008008955693947E-08,-2.993773200475918E-08,-5.052195613389600E-08,-1.093180257164215E-07,-7.125754295935528E-07,2.436307097781784E-06,-7.126942805602585E-07,-1.096656840624953E-07,-5.144136852615794E-08,-7.602000824755067E-11,-7.172930946994419E-11,-7.416536334583285E-11,-7.507657088671461E-11,-7.627981480660233E-11,-7.953218625236540E-11,-7.837498556034382E-11,-7.942516209964701E-11,-8.015205941212075E-11,-7.458021561038618E-10,-1.793544803627013E-07,-2.629999201824866E-09
island_6,-1.448796945081820E-07,-2.487899360744360E-07,-4.478795018206920E-08,-1.461193667414925E-08,-2.017580713410438E-08,-2.995134305914094E-08,-5.054367134841629E-08,-1.095672102596582E-07,-7.126942805602585E-07,2.436224080948775E-06,-7.127896043806357E-07,-1.109187545167810E-07,-7.879150518473513E-11,-7.446446717714088E-11,-7.694824297782612E-11,-7.788093721770084E-11,-7.911983534497734E-11,-8.244314176739350E-11,-8.123609189862399E-11,-8.231728280162568E-11,-8.306535999139699E-11,-7.728090339068519E-10,-2.310313612027415E-07,-2.728394707317750E-09
island_7,-1.468261487705311E-07,-2.320329713829974E-07,-4.598305309155941E-08,-1.119899186950922E-08,-1.470032748466141E-08,-2.021754650550748E-08,-3.000677635318291E-08,-5.069436933160741E-08,-1.096656840624953E-07,-7.127896043806357E-07,2.436310026956686E-06,-7.165094429612600E-07,-8.148779747812514E-11,-7.709931682700753E-11,-7.963260400134681E-11,-8.058574057873136E-11,-8.185844444484889E-11,-8.525039091419806E-11,-8.399462258990227E-11,-8.510506144501838E-11,-8.587283279706106E-11,-7.988548570583127E-10,-3.399888322238482E-07,-2.823792482317737E-09
island_8,-1.506688511327314E-07,-2.209956623960994E-07,-4.779186440636978E-08,-9.035404073484756E-09,-1.144339437222268E-08,-1.496248016999445E-08,-2.056538789749833E-08,-3.052842628874120E-08,-5.144136852615794E-08,-1.109187545167810E-07,-7.165094429612600E-07,2.410828282325518E-06,-8.534247411335036E-11,-8.078803708542899E-11,-8.340490621015869E-11,-8.439092137873846E-11,-8.571425102360519E-11,-8.922222292609334E-11,-8.790008951042875E-11,-8.905446082338245E-11,-8.985179167665967E-11,-8.358025783023121E-10,-1.019986415825816E-06,-2.959037368136713E-09
island_25,-1.374693280421422E-07,-1.457642803294830E-08,-1.073880387255856E-07,-6.106006716105050E-11,-6.442283646859281E-11,-6.741372112121459E-11,-7.037558584950382E-11,-7.320243401737623E-11,-7.602000824755067E-11,-7.879150518473513E-11,-8.148779747812514E-11,-8.534247411335036E-11,2.455430949896425E-06,-7.247033372240321E-07,-1.116545276688615E-07,-5.190701585007520E-08,-3.088953578171665E-08,-2.151197621610076E-08,-1.534791846074227E-08,-1.193943996528288E-08,-9.608507983931508E-09,-4.450946170528264E-08,-9.712502877034139E-08,-1.074628266799639E-06
