N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle,L SQUID um,d,FREQ1 GHz,FREQ2 GHz,KAPPA MHz,T1_PURCELL us,TPHI_CHARGE us,G_COUPLING MHz
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.11155639876771924,9.063148457191028,18.754994290767854,0.002927976273438237,6.111820183400007,0.014535884755246854,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.13821730389018025,10.194663666139956,18.755920811444337,0.004272610724290734,4.147125542511039,0.04209887130549924,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.17124990861751013,11.455586270393802,18.757340293576473,0.00659738681013116,2.693026181211233,0.1431374757615978,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.212176987801808,12.857681162049236,18.75969744465841,0.011177125584955629,1.613671893147709,0.5807938275153056,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.26288524482193754,14.414869554602328,18.76419887466602,0.022452706651235728,0.8218164009890191,2.865486913278855,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.3257122869971348,16.139924507881727,18.775632659301902,0.06604777242518924,0.28117447990492206,17.556789305386598,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.4035543872869771,17.998942192685746,18.847619410963983,0.7586489080106847,0.015698974682195412,136.78748576426602,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.0,0.5,18.697649832350063,20.296128440595872,6.306067567848704,0.08933216916933445,1391.5952876696879,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.001,2.998735992624795,18.75200060275844,0.0001970402804438205,110.75577696503926,0.00011115125251666469,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.0012389903709420908,3.000377983136433,18.75200081941027,0.0001972651252719737,110.64113141560196,0.0001124890239409246,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.0015350971392872196,3.002894234098041,18.75200115167096,0.000197609958167831,110.46564528501953,0.00011417145606552812,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.0019019705740376145,3.0067467006601682,18.752001660969846,0.0001981385671627071,110.19744268170385,0.00011629460055428749,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.002356523227047805,3.012636736957037,18.7520024410321,0.00019894828126472235,109.7884960954,0.00011898511526693353,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.002919709587213616,3.021623024234764,18.752003634408485,0.00020018721429774388,109.16716791765711,0.00012241202520937167,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.003617492064504977,3.035289784904014,18.75200545689343,0.0002020797128052523,108.22825739652986,0.00012680409047118455,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.004482037834881091,3.0559771519495875,18.75200823292775,0.0002049634070915626,106.82097831012545,0.00013247616894242848,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.005553201719615808,3.087076752638433,18.75201244556007,0.00020934177015090641,104.73727878618085,0.000139870657314051,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.006880363458503046,3.133371815926353,18.752018804420665,0.00021595616633209602,101.70701949825325,0.00014962558881164524,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.008524704073667096,3.2013566681325427,18.75202833406648,0.00022588087115607875,97.41302405239405,0.00016269261952607102,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.010562026262404352,3.299413088942548,18.752042483441475,0.00024064362335538458,91.54490882626942,0.00018055330863680954,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.013086248836756471,3.437688625132513,18.75206325726548,0.00026237608659944065,83.90561663953403,0.0002056367435878083,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.016213736300493404,3.6275756851833965,18.7520933755394,0.0002940070606947904,74.55349948922971,0.000242161448493211,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.020088663153305576,3.880847191102045,18.752136478607753,0.0003395283991039798,63.908489376534696,0.0002978964752765254,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.024889660212044785,4.20866454219656,18.752197405979043,0.00040438414196664686,52.72445737605403,0.0003879877728869552,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.030838049338743966,4.620697273332104,18.752282581738648,0.0004960564090586379,41.895415140992,0.000543658132297093,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.038208046189340886,5.1245009751732775,18.75240055246164,0.0006249681116730952,32.189069862165354,0.0008331794151115939,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.047339401321103994,5.725263070254293,18.752562787752822,0.0008059563668440243,24.057811425754704,0.0014164127780029409,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.05865306240301117,6.4260974275677905,18.752785025987816,0.001060901026549165,17.60621926830597,0.002699958773339459,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.0726705795435964,7.229049354304458,18.753089785642562,0.001423821868133182,12.682648927331813,0.005823230961554118,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.09003814830529722,8.136663994913704,18.75351127382019,0.0019513950594517166,9.011062285904039,0.014348524409943135,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.11155639876771924,9.153546519764854,18.754105238642538,0.0027460452144867516,6.2976680536590495,0.040863527027727053,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.13821730389018025,10.287272835938962,18.75496992918641,0.004011521894309376,4.289570913238437,0.13639247018763223,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.17124990861751013,11.548443129357766,18.756295927312454,0.006206352179023317,2.793608657809335,0.542243804896932,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.212176987801808,12.950142556099433,18.75850624219487,0.010560297949437891,1.6743295951823873,2.615527806856267,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.26288524482193754,14.506991052749392,18.762762062345708,0.021426409346754983,0.8479286439321543,15.628906196248787,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.3257122869971348,16.2320721378896,18.77379031606191,0.0648194465355173,0.2833818476587322,118.42898305042556,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.4035543872869771,18.086244553366072,18.850520991329212,0.8704545496939343,0.01269557724043442,1168.2003098468792,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.1,0.5,18.704143602793046,20.380046185894898,6.342427399655439,0.10650325132141748,15445.833583257336,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.001,2.7511177531638107,18.75134955636137,0.0001511471592126098,144.3128451249336,0.0001224150538403744,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.0012389903709420908,2.753247499246403,18.751349790950762,0.0001513894445960684,144.10261083246382,0.0001241726192408476,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.0015350971392872196,2.756508875858472,18.751350150570914,0.00015176088417312355,143.78119057622084,0.00012638903405402552,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.0019019705740376145,2.7614967325679864,18.75135070146006,0.00015232991761105597,143.29084184303815,0.0001291953591092567,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.002356523227047805,2.7691101297255685,18.751351544420803,0.00015320074532358677,142.5452402173558,0.00013276607696093161,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.002919709587213616,2.780697007539673,18.75135283218034,0.0001545313212305331,141.41716992676206,0.00013733666660624346,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.003617492064504977,2.798254130686545,18.75135479464299,0.00015655958136118764,139.723286242537,0.0001432301293758765,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.004482037834881091,2.8246874590611664,18.75135777468621,0.00015964082414325715,137.2084146102486,0.00015089838498916154,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,1.2,0.005553201719615808,2.8641194305884548,18.751362277131435,0.00016429909278084848,133.53657846930992,0.00016098968126611733,
