N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle,FREQ1 GHz,FREQ2 GHz,KAPPA MHz,T1_PURCELL us,G_COUPLING MHz
80,17.0,5.32297128272543e-15,7.911399170041971e-17,4.3773777841013006e-17,2.16944178735718e-16,3.9338375525622704e-17,2.1474132766038002e-17,14.574320075301,24.12492783315367,7.7321322857795325,68.1559069270112,120.2404809619236
80,19.0,5.869115630739631e-15,7.84702387245833e-17,4.3401550930313703e-17,2.3656736419775005e-16,3.96955856270136e-17,2.16636626277314e-17,14.411953057297032,24.10626040206829,8.352260763210872,64.62465780684522,120.24048096192455
80,21.0,6.3832316064842906e-15,7.864278507503301e-17,4.34928887428239e-17,2.5449171703492805e-16,4.0339978561039005e-17,2.2016335952422603e-17,14.242710737634525,24.055307655997186,8.887370057180755,60.86048215505681,120.2404809619236
100,1.0,1.0181301821449901e-15,8.016754086473651e-17,4.37371954197048e-17,3.3178192731481504e-17,3.83017452873552e-17,2.07142442390667e-17,15.608675646872458,23.34677443896473,1.1878406529210404,147.18691570245792,114.2284569138279
100,3.0,1.71874387338143e-15,7.88874860728728e-17,4.3087908206388704e-17,6.250478514981581e-17,3.9091003283191e-17,2.1069032310942302e-17,14.794883520191055,22.94496513647688,2.52052289267146,133.17050744392222,108.21643286573219
100,5.0,2.2951926540533003e-15,7.800962819937091e-17,4.27212597985183e-17,8.677811254202601e-17,3.93574118693457e-17,2.1279710047298902e-17,14.26930124212638,22.734884766517773,3.5648156505266617,120.84337873346652,108.21643286573219
100,7.0,2.8345358227893002e-15,7.75786204162461e-17,4.26894083369043e-17,1.0931484983651501e-16,3.9887587036998e-17,2.17409534843089e-17,13.838665026041246,22.56089004109955,4.483634276818056,109.47124535676194,102.20440881763459
100,9.0,3.37545952857332e-15,7.687273605044391e-17,4.27235555475854e-17,1.2994364237819601e-16,4.058940989887451e-17,2.23753485845676e-17,13.46563908234019,22.407262410896116,5.401063670067661,99.9627782697904,102.20440881763554
100,11.0,3.912811644954481e-15,7.631443649375511e-17,4.23141149392116e-17,1.5046425072477e-16,4.07844915899059e-17,2.2368047008318603e-17,13.20285238156661,22.349179989364192,6.142471739802979,91.94238501153681,96.19238476953983
100,13.0,4.4393323568569706e-15,7.547895967397461e-17,4.188163138327871e-17,1.71069010578429e-16,4.13749952393033e-17,2.2707640509311003e-17,12.969008209351427,22.288847070416427,6.9480730360634535,85.49977182105503,96.19238476953888
100,15.0,4.94526492629598e-15,7.52569667588905e-17,4.18613046212816e-17,1.8991195571956601e-16,4.15380795112824e-17,2.2881404599068004e-17,12.762311017175671,22.226002652580636,7.519990584481765,79.51910775808146,96.19238476953888
100,17.0,5.4926240774505504e-15,7.430744955667051e-17,4.1186621515374505e-17,2.0945279783178202e-16,4.2070279138402906e-17,2.31386950883818e-17,12.595823346363678,22.20786001008557,8.327773247005814,74.81657668167571,96.19238476953888
100,19.0,5.987524987323421e-15,7.420125803051431e-17,4.1221925081586003e-17,2.28244871402267e-16,4.20426527075559e-17,2.31152925174e-17,12.44498636485079,22.171215345843674,8.694145329648789,70.41298784423276,90.18036072144318
100,21.0,6.504506338909111e-15,7.351406778242111e-17,4.10612751202481e-17,2.46966307408833e-16,4.24088903248865e-17,2.34394768345855e-17,12.297107260798903,22.12796633590013,9.292560253612173,66.84957583568499,96.19238476953888
