N,Cc_F,Cg_F,W_um,L_um,fp_target_GHz,R_Ohm,EJ_GHz,EC_GHz,d,f_chain0_GHz,f_chain1_GHz,f_minus_GHz,f_plus_GHz,g_MHz,T1_Purcell_s,f_qubit_GHz
95,2.511886431509582e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.898304885471013,28.07959049698029,21.296918767506998,22.406162464985993,554.6218487394963,8.919234888479224e-06,3.8492609883370767
95,3.9810717055349695e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.252975660473098,28.04026341732312,20.635854341736696,21.801120448179272,582.6330532212887,6.269642960635816e-06,3.8492609883370767
95,6.309573444801943e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.742925801095456,28.014184573517998,20.109243697478988,21.308123249299715,599.4397759103641,4.837519360757316e-06,3.8492609883370767
95,1e-14,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.366781708136887,27.99722593028978,19.705882352941178,20.92717086834734,610.6442577030812,4.029319184260772e-06,3.8492609883370767
100,1e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.660588599821374,28.683084569263546,25.240896358543417,26.047619047619044,403.3613445378151,10.998954970661204,3.8492609883370767
100,1.5848931924611109e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.65856196807621,28.682362157522686,25.218487394957982,26.02521008403361,403.3613445378151,4.381245247099923,3.8492609883370767
100,2.5118864315095718e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.65534956073646,28.681216842612606,25.207282913165265,26.02521008403361,408.9635854341736,1.7457720139538038,3.8492609883370767
100,3.981071705534985e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.650257235734593,28.679400756006366,25.207282913165265,26.02521008403361,408.9635854341736,0.695993555622845,3.8492609883370767
100,6.309573444801943e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.642184059759852,28.676520401837607,25.207282913165265,26.014005602240893,403.3613445378151,0.27770474101215903,3.8492609883370767
100,1e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.62938347533648,28.671950876511193,25.19607843137255,26.014005602240893,408.9635854341736,0.11095099141479388,3.8492609883370767
100,1.584893192461111e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.609084271562693,28.664700117174476,25.162464985994397,25.98039215686274,408.9635854341736,0.04442002474310212,3.8492609883370767
100,2.5118864315095718e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.576891075198997,28.65319745996457,25.140056022408963,25.95798319327731,408.9635854341736,0.01784201589237209,3.8492609883370767
100,3.9810717055349855e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.52584661475598,28.634979809508792,25.095238095238095,25.913165266106443,408.9635854341736,0.007203353349289892,3.8492609883370767
100,6.309573444801943e-17,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.44501076858973,28.6062891406668,24.99439775910364,25.823529411764707,414.56582633053205,0.0029315772198025432,3.8492609883370767
100,1e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.31748651898136,28.561791996980848,24.87114845938375,25.72268907563025,425.77030812324904,0.001207955197874825,3.8492609883370767
100,1.5848931924611109e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.118309569637688,28.495215349314158,25.521008403361343,25.53221288515406,5.60224089635849,0.0005072585875975085,3.8492609883370767
100,2.511886431509582e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.814200616961067,28.402496275492222,24.333333333333332,25.2296918767507,448.179271708683,0.0002191508471510286,3.8492609883370767
100,3.9810717055349695e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,24.370106085786492,28.287662416921957,23.88515406162465,24.815126050420165,464.9859943977585,9.867642574615544e-05,3.8492609883370767
100,6.309573444801943e-16,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.767689324903778,28.165526152384825,23.257703081232492,24.23249299719888,487.39495798319433,4.706986611344971e-05,3.8492609883370767
100,1e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,23.02936751062736,28.05439425308489,22.49579831932773,23.5266106442577,515.4061624649868,2.4225193299250503e-05,3.8492609883370767
100,1.584893192461111e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,22.22485124056743,27.96556267087116,21.655462184873947,22.742296918767504,543.4173669467792,1.3679532840597175e-05,3.8492609883370767
100,2.511886431509582e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,21.446241573684635,27.90075294178535,20.8375350140056,21.98039215686274,571.4285714285717,8.565690242401876e-06,3.8492609883370767
100,3.9810717055349695e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.769674774528816,27.85612931520776,20.165266106442573,21.34173669467787,588.2352941176491,5.952166430868905e-06,3.8492609883370767
100,6.309573444801943e-15,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,20.232454684906923,27.8264570413331,19.582633053221286,20.79271708683473,605.0420168067226,4.547221000737132e-06,3.8492609883370767
100,1e-14,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,19.834876566361622,27.807130399862007,19.168067226890756,20.400560224089634,616.2464985994396,3.7579290131125573e-06,3.8492609883370767
105,1e-18,2e-17,0.6,2.0,30,50.0,627.2512212610997,0.3587079504566504,0.01,25.31209066236417,28.557893959871524,24.859943977591033,24.87114845938375,5.60224089635849,10.765628901785801,3.8492609883370767
