N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle
80,17.0,5.32297128272543e-15,7.911399170041971e-17,4.3773777841013006e-17,2.16944178735718e-16,3.9338375525622704e-17,2.1474132766038002e-17
80,19.0,5.869115630739631e-15,7.84702387245833e-17,4.3401550930313703e-17,2.3656736419775005e-16,3.96955856270136e-17,2.16636626277314e-17
80,21.0,6.3832316064842906e-15,7.864278507503301e-17,4.34928887428239e-17,2.5449171703492805e-16,4.0339978561039005e-17,2.2016335952422603e-17
90,1.0,9.899824437770222e-16,8.35738000868714e-20,4.193938883704821e-17,3.6075215145096904e-17,3.78405004103581e-17,1.87370948215672e-17
90,3.0,1.6663549682453902e-15,8.242138033144231e-20,4.134164906800271e-17,6.53861441278341e-17,3.8240065799571104e-17,1.89355655375857e-17
90,5.0,2.2483464132630504e-15,8.13506864925505e-20,4.0904678916588304e-17,8.984682986015611e-17,3.8639105865332304e-17,1.91765310112287e-17
90,7.0,2.71425032066042e-15,8.044860913595522e-20,4.0444557339494505e-17,1.14954012509774e-16,3.909335239171291e-17,1.9405832361021902e-17
90,9.0,3.27787444603646e-15,7.817487663891951e-20,4.18850412340418e-17,1.3483843211105203e-16,3.8665992627851404e-17,2.04485319221939e-17
90,11.0,3.8156576643494104e-15,7.74889522404901e-20,4.15150387087106e-17,1.5562751127318002e-16,3.9077873020704705e-17,2.0663989623886703e-17
90,13.0,4.34350729547547e-15,7.69335322621496e-20,4.12026462137148e-17,1.7461235915325703e-16,3.94409026452896e-17,2.08644235242548e-17
90,15.0,4.77045746282045e-15,7.718466342678151e-20,4.2717994532907204e-17,1.9539504655971802e-16,4.0320903608288206e-17,2.2050253053843202e-17
90,17.0,5.349121237839861e-15,7.652273648554381e-20,4.231019864797421e-17,2.1422775179180901e-16,4.06577193519152e-17,2.2215498457707603e-17
90,19.0,5.855353973825941e-15,7.59685273446048e-20,4.20055972601112e-17,2.3397084760263404e-16,4.1002603801370505e-17,2.24059641942693e-17
90,21.0,6.3818532694575504e-15,7.61102549477518e-20,4.20627364609901e-17,2.51718855926574e-16,4.16754542386869e-17,2.28083309533971e-17
100,1.0,1.0181301821449901e-15,8.016754086473651e-17,4.37371954197048e-17,3.3178192731481504e-17,3.83017452873552e-17,2.07142442390667e-17
100,3.0,1.71874387338143e-15,7.88874860728728e-17,4.3087908206388704e-17,6.250478514981581e-17,3.9091003283191e-17,2.1069032310942302e-17
100,5.0,2.2951926540533003e-15,7.800962819937091e-17,4.27212597985183e-17,8.677811254202601e-17,3.93574118693457e-17,2.1279710047298902e-17
100,7.0,2.8345358227893002e-15,7.75786204162461e-17,4.26894083369043e-17,1.0931484983651501e-16,3.9887587036998e-17,2.17409534843089e-17
100,9.0,3.37545952857332e-15,7.687273605044391e-17,4.27235555475854e-17,1.2994364237819601e-16,4.058940989887451e-17,2.23753485845676e-17
100,11.0,3.912811644954481e-15,7.631443649375511e-17,4.23141149392116e-17,1.5046425072477e-16,4.07844915899059e-17,2.2368047008318603e-17
100,13.0,4.4393323568569706e-15,7.547895967397461e-17,4.188163138327871e-17,1.71069010578429e-16,4.13749952393033e-17,2.2707640509311003e-17
100,15.0,4.94526492629598e-15,7.52569667588905e-17,4.18613046212816e-17,1.8991195571956601e-16,4.15380795112824e-17,2.2881404599068004e-17
100,17.0,5.4926240774505504e-15,7.430744955667051e-17,4.1186621515374505e-17,2.0945279783178202e-16,4.2070279138402906e-17,2.31386950883818e-17
100,19.0,5.987524987323421e-15,7.420125803051431e-17,4.1221925081586003e-17,2.28244871402267e-16,4.20426527075559e-17,2.31152925174e-17
100,21.0,6.504506338909111e-15,7.351406778242111e-17,4.10612751202481e-17,2.46966307408833e-16,4.24088903248865e-17,2.34394768345855e-17
